iter	Logloss
0	0.6108366892
1	0.5419702316
2	0.4838000075
3	0.4448436866
4	0.4092654586
5	0.3803170097
6	0.3616910153
7	0.3448485674
8	0.3348947473
9	0.3181706924
10	0.3047265203
11	0.2951464462
12	0.2864844953
13	0.2797584848
14	0.2723305256
15	0.2655518154
16	0.2619704097
17	0.2573761663
18	0.2523863781
19	0.2487390812
20	0.2453050072
21	0.240643603
22	0.238251635
23	0.2352188606
24	0.2328734913
25	0.2297832187
26	0.227783844
27	0.2251592287
28	0.2211645192
29	0.2192439632
30	0.2174691725
31	0.2148643608
32	0.2128977833
33	0.2110504562
34	0.2097563445
35	0.2074717052
36	0.2059632494
37	0.2042744172
38	0.2028857725
39	0.2017731418
40	0.1989849859
41	0.1978569542
42	0.1956772692
43	0.1947111457
44	0.1937459787
45	0.1926489139
46	0.191712669
47	0.1911030108
48	0.1903442401
49	0.1896078783
50	0.1882696743
51	0.186721809
52	0.1857935285
53	0.185283548
54	0.1842285968
55	0.1834308619
56	0.1814427659
57	0.1811557205
58	0.1803338618
59	0.1793661718
60	0.1787921635
61	0.1780462709
62	0.1771094159
63	0.1757389259
64	0.1741907144
65	0.1736388017
66	0.1732085633
67	0.1727871468
68	0.1721687328
69	0.1714883192
70	0.17071794
71	0.1703376312
72	0.1699892457
73	0.1691435105
74	0.1685331928
75	0.1681870992
76	0.1676212201
77	0.1667033608
78	0.1662152781
79	0.1656011019
80	0.164957855
81	0.1643762946
82	0.163751994
83	0.1632526821
84	0.1626010422
85	0.1623843236
86	0.1617484804
87	0.1613695733
88	0.1609968166
89	0.1606468976
90	0.1601929971
91	0.1600395479
92	0.1597626434
93	0.1594090143
94	0.1590783548
95	0.1587638382
96	0.1583689364
97	0.1576302661
98	0.1567579832
99	0.1561742297
100	0.1558758562
101	0.1554878139
102	0.1548836797
103	0.1546303054
104	0.1543235223
105	0.1540183552
106	0.1538283657
107	0.1533617521
108	0.1529074064
109	0.1526715438
110	0.1525484678
111	0.1519283719
112	0.1511914
113	0.1506870588
114	0.150502214
115	0.1502283271
116	0.1501226967
117	0.1490381473
118	0.1489485775
119	0.1478095475
120	0.1473946112
121	0.1472232217
122	0.1470110046
123	0.146753541
124	0.1463437824
125	0.1461985448
126	0.146068296
127	0.1457894952
128	0.1454388836
129	0.1432058723
130	0.1430761841
131	0.1428933675
132	0.1423306872
133	0.1421439956
134	0.1419055606
135	0.1409686232
136	0.1407212345
137	0.1402765516
138	0.1399647063
139	0.1397993024
140	0.1392848863
141	0.1390832554
142	0.1387475996
143	0.1385533888
144	0.138391563
145	0.1379365413
146	0.1377419843
147	0.1375037884
148	0.1370226559
149	0.1367544248
150	0.136311127
151	0.1359108415
152	0.1354561083
153	0.1347375879
154	0.1345330054
155	0.1339802518
156	0.1338433165
157	0.1337339514
158	0.1330599521
159	0.132506984
160	0.1324269698
161	0.1320819646
162	0.1317446846
163	0.1315134966
164	0.1313110495
165	0.1312122292
166	0.1309782793
167	0.1307982823
168	0.1301247942
169	0.1298361328
170	0.1293595844
171	0.1290784834
172	0.1289881881
173	0.1287155048
174	0.1284963953
175	0.1283955963
176	0.1281440523
177	0.1277697127
178	0.1276134685
179	0.127326926
180	0.1272522708
181	0.1270866278
182	0.1268725969
183	0.1267775939
184	0.1264998237
185	0.1260974028
186	0.1258293531
187	0.125704826
188	0.1255841657
189	0.1251882664
190	0.1232088766
191	0.1231110622
192	0.1227801966
193	0.1226637658
194	0.1225475246
195	0.1224714101
196	0.1223748159
197	0.1222888902
198	0.1220654275
199	0.1220075006
200	0.1218867332
201	0.1217826858
202	0.1210782967
203	0.121011746
204	0.1209401248
205	0.1206146594
206	0.1205455116
207	0.1204823824
208	0.1201095103
209	0.1199393491
210	0.1195768818
211	0.119338051
212	0.1192722258
213	0.1192087751
214	0.1191101362
215	0.1190342937
216	0.1189814703
217	0.1188663834
218	0.1187676044
219	0.118698539
220	0.1179862928
221	0.1179179777
222	0.1178341462
223	0.1175138584
224	0.117454093
225	0.1170368977
226	0.116943115
227	0.1168831764
228	0.1168283331
229	0.1167743719
230	0.1165630947
231	0.1165128684
232	0.1162365987
233	0.1147856657
234	0.1147335266
235	0.1146808681
236	0.114110001
237	0.1139215615
238	0.1135887748
239	0.1132718426
240	0.1131697327
241	0.1131236699
242	0.113067087
243	0.1130224093
244	0.1128286767
245	0.1127824243
246	0.112473209
247	0.1123834002
248	0.1123414514
249	0.1120499045
250	0.1120067355
251	0.1116836611
252	0.1114597696
253	0.1113873899
254	0.1113456308
255	0.111318506
256	0.1111078719
257	0.1107016997
258	0.1099821817
259	0.1099356654
260	0.1097325999
261	0.1097050628
262	0.1094034739
263	0.109203731
264	0.1089767643
265	0.1087976577
266	0.108508848
267	0.108221514
268	0.108194315
269	0.1081677095
270	0.1081413844
271	0.1079593592
272	0.107933504
273	0.1078940452
274	0.1078687506
275	0.1076245691
276	0.1075995301
277	0.1075421639
278	0.1074509287
279	0.1071965898
280	0.1071719713
281	0.1071363792
282	0.1069656327
283	0.1068884629
284	0.1068641659
285	0.1068294313
286	0.1067772097
287	0.1067533827
288	0.106729836
289	0.1067064542
290	0.1066835506
291	0.1063768005
292	0.1059624579
293	0.1059396779
294	0.1057618575
295	0.1054842687
296	0.1051968688
297	0.1049824505
298	0.1049278545
299	0.1048944224
