project,tasks,actual_overdue_rate,mean_predicted_risk
1338,252,0.1349206349206349,0.2590840366930806
1335,254,0.19291338582677164,0.21821476759728423
1330,759,0.06324110671936758,0.1107949466680233
1328,730,0.052054794520547946,0.10678898372908359
1329,88,0.03409090909090909,0.033952387665473656
1340,195,0.0,0.0028828154599323703
1345,118,0.0,0.0001952768944766123
1343,89,0.0,8.196632147256879e-05
