task_group,tasks,actual_overdue_rate,mean_predicted_risk
Design Team,218,0.3211009174311927,0.5584279179689001
Quality,199,0.31155778894472363,0.4917700741097911
Site Management,266,0.15037593984962405,0.24821196868533657
Unknown,8,0.0,0.0341462899033955
Safety,1794,0.0,0.00024986778731307175
